"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"filterbubbles_ver1.2.nlogo"
"experiment"
"05/19/2025 11:38:41:351 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","acceptance-latitude","acceptance-sharpness","[step]","number-of-bubbles","biggest-cluster-tightness","biggest-cluster-size"
"4","0.2","3","1001","1","0.4","100"
"5","0.2","3","1001","1","0.3","100"
"7","0.2","3","1001","1","0.3","100"
"11","0.2","4","1001","1","0.2","100"
"10","0.2","3","1001","1","0.2","100"
"13","0.2","4","1001","1","0.2","100"
"9","0.2","3","1001","1","0.4","100"
"3","0.2","3","1001","1","0.2","100"
"1","0.2","3","1001","1","0.3","100"
"12","0.2","4","1001","1","0.2","100"
"6","0.2","3","1001","1","0.2","100"
"8","0.2","3","1001","1","0.3","100"
"2","0.2","3","1001","1","0.2","100"
"14","0.2","4","1001","2","0.3","96"
"15","0.2","4","1001","1","0.2","100"
"17","0.2","4","1001","1","1.6","100"
"16","0.2","4","1001","1","0.2","100"
"27","0.2","5","1001","1","7.1","100"
"26","0.2","5","1001","1","5.5","100"
"28","0.2","5","1001","3","0.9","53"
"22","0.2","5","1001","1","4.9","100"
"18","0.2","4","1001","1","0.2","100"
"21","0.2","5","1001","1","6","100"
"24","0.2","5","1001","1","7.2","100"
"30","0.2","5","1001","2","2.8","68"
"33","0.2","6","1001","6","0.2","31"
"31","0.2","6","1001","4","1.4","28"
"32","0.2","6","1002","4","0.3","35"
"34","0.2","6","1001","4","4.9","57"
"29","0.2","5","1001","2","0.2","99"
"23","0.2","5","1001","1","3.5","100"
"41","0.2","7","1002","4","2","37"
"38","0.2","6","1002","1","6.5","100"
"37","0.2","6","1001","4","3.2","67"
"19","0.2","4","1001","1","0.3","100"
"40","0.2","6","1001","2","3.3","67"
"42","0.2","7","1001","10","0.2","35"
"39","0.2","6","1002","2","7.3","99"
"20","0.2","4","1001","1","0.2","100"
"25","0.2","5","1001","1","0.2","100"
"35","0.2","6","1001","3","3.9","60"
"36","0.2","6","1001","2","5","91"
"45","0.2","7","1001","4","3.2","41"
"43","0.2","7","1001","5","6.9","77"
"47","0.2","7","1001","7","0.3","29"
"44","0.2","7","1001","3","3.8","51"
"46","0.2","7","1001","6","0.2","34"
"48","0.2","7","1001","6","0.2","42"
"49","0.2","7","1001","4","1.6","56"
"50","0.2","7","1001","4","2.3","37"
"51","0.2","8","1001","7","0.2","24"
"53","0.2","8","1001","5","0.3","27"
"52","0.2","8","1001","5","0.2","38"
"58","0.2","8","1001","5","3.7","32"
"57","0.2","8","1001","7","2.7","39"
"55","0.2","8","1001","5","1.9","50"
"59","0.2","8","1001","7","0.3","43"
"56","0.2","8","1001","6","2.1","42"
"61","0.2","9","1001","6","1.5","36"
"54","0.2","8","1001","5","0.2","49"
"60","0.2","8","1001","5","1.4","41"
"62","0.2","9","1001","6","3.9","46"
"66","0.2","9","1001","8","1.7","32"
"67","0.2","9","1001","7","2.5","35"
"63","0.2","9","1002","6","5.1","55"
"68","0.2","9","1001","6","0.3","30"
"69","0.2","9","1001","10","0.2","32"
"71","0.2","10","1001","8","0.3","19"
"64","0.2","9","1001","7","2.3","33"
"73","0.2","10","1001","7","1.2","31"
"65","0.2","9","1001","9","0.3","37"
"72","0.2","10","1001","7","0.2","20"
"70","0.2","9","1001","7","0.3","32"
"74","0.2","10","1001","5","1.8","35"
"75","0.2","10","1001","7","0.3","30"
"76","0.2","10","1001","6","4.3","43"
"79","0.2","10","1001","6","0.3","24"
"78","0.2","10","1001","6","0.3","24"
"80","0.2","10","1001","6","3","36"
"82","0.2","11","1001","10","0.2","20"
"77","0.2","10","1002","9","3.3","46"
"81","0.2","11","1001","11","0.3","24"
"86","0.2","11","1001","8","0.2","23"
"83","0.2","11","1001","11","2.2","25"
"87","0.2","11","1004","7","0.3","26"
"90","0.2","11","1001","8","1.8","27"
"88","0.2","11","1001","10","0.2","26"
"89","0.2","11","1001","9","2.1","36"
"85","0.2","11","1001","8","2.1","22"
"91","0.2","12","1001","9","0.2","23"
"92","0.2","12","1001","10","4.7","34"
"84","0.2","11","1001","9","0.3","37"
"93","0.2","12","1001","11","2.4","24"
"95","0.2","12","1001","9","0.3","17"
"97","0.2","12","1001","8","1.1","30"
"100","0.2","12","1001","9","0.3","24"
"98","0.2","12","1001","8","0.3","23"
